,Diện tích sử dụng,Diện tích đất,Phòng ngủ,Nhà tắm,Pháp lý,Ngày đăng,Mã BĐS,address,price
104,1 m2,,2.0,2.0,Sổ hồng,18/07/2023,22258876," Phước Hữu, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 470 triệu
105,72 m2,,2.0,2.0,Sổ hồng,18/07/2023,22254793," Nam Kỳ Khởi Nghĩa, Phường 6 (Phường Võ Thị Sáu), Quận 3, TPHCM",1 tỷ 250 triệu
106,71 m2,,2.0,2.0,Sổ hồng,18/07/2023,22255608," Đường D1, Phường 25, Quận Bình Thạnh, TPHCM",1 tỷ 790 triệu
107,98 m2,"98 m2 (9,9x10)",9.0,15.0,Sổ đỏ,18/07/2023,22262052," Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",25 tỷ
108,81 m2,,2.0,2.0,Sổ hồng,18/07/2023,22263051," Nguyễn Tất Thành, Phường 18, Quận 4, TPHCM",1 tỷ 975 triệu
109,,88 m2 (4x22),4.0,4.0,Sổ hồng,18/07/2023,22225335," Đường số 9, Phường Tăng Nhơn Phú B, Quận 9 (TP. Thủ Đức), TPHCM",7 tỷ 500 triệu
110,,50 m2 (5x10),2.0,2.0,Sổ hồng,18/07/2023,22262012," Bình Thới, Phường 14, Quận 11, TPHCM",1 tỷ 870 triệu
111,1 m2,,2.0,2.0,Sổ hồng,18/07/2023,22255043," Võ Văn Kiệt, Phường 16, Quận 8, TPHCM",1 tỷ 360 triệu
112,70 m2,,2.0,2.0,Sổ hồng,18/07/2023,22263010," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1 tỷ 630 triệu
113,,"50,5 m2",2.0,2.0,Sổ hồng,18/07/2023,22248034," Đặng Văn Bi, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 360 triệu
114,49 m2,49 m2 (7x7),2.0,1.0,Sổ hồng,18/07/2023,21948922," Thi Sách, Phường Thắng Tam, TP. Vũng Tàu, Bà Rịa - Vũng Tàu",2 tỷ 400 triệu
115,,60 m2 (1x1),4.0,4.0,Sổ hồng,18/07/2023,22246585," Mễ Cốc, Phường 15, Quận 8, TPHCM",2 tỷ 75 triệu
116,,"54 m2 (4x13,5)",3.0,2.0,Sổ hồng,18/07/2023,22234271," Trịnh Đình Trọng, Phường 5, Quận 11, TPHCM",1 tỷ 970 triệu
117,,64 m2 (4x16),3.0,2.0,Sổ hồng,18/07/2023,22174543," Ngô Gia Tự, Phường 2, Quận 10, TPHCM",1 tỷ 200 triệu
118,,"56 m2 (5x11,2)",4.0,5.0,Sổ hồng,18/07/2023,22247378," Quang Trung, Phường 10, Quận Gò Vấp, TPHCM",2 tỷ 690 triệu
119,60 m2,,2.0,2.0,Sổ hồng,18/07/2023,22258757," Nam Kỳ Khởi Nghĩa, Phường 6 (Phường Võ Thị Sáu), Quận 3, TPHCM",1 tỷ 470 triệu
120,1 m2,,3.0,2.0,Sổ hồng,18/07/2023,22258206," Nguyễn Văn Linh, Phường Tân Phú, Quận 7, TPHCM",2 tỷ 199 triệu
121,80 m2,,2.0,2.0,Sổ hồng,18/07/2023,22239343," Nguyễn Văn Đậu, Phường 6, Quận Bình Thạnh, TPHCM",2 tỷ 490 triệu
122,,"59 m2 (4x14,3)",4.0,3.0,Sổ hồng,18/07/2023,22192444," Bình Thới, Phường 9, Quận 11, TPHCM",1 tỷ 690 triệu
123,70 m2,,2.0,2.0,Sổ hồng,18/07/2023,22229662," Nguyễn Văn Luông, Phường 12, Quận 6, TPHCM",1 tỷ 715 triệu
124,89 m2,,2.0,2.0,Hợp đồng mua bán,18/07/2023,22072979," Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",3 tỷ 150 triệu
125,90 m2,"45 m2 (4,3x10,5)",2.0,2.0,Sổ hồng,18/07/2023,22182403," Khuông Việt, Phường Phú Trung, Quận Tân Phú, TPHCM",1 tỷ 975 triệu
126,,59 m2,3.0,3.0,Sổ hồng,18/07/2023,22253760," Thích Quảng Đức, Phường 4, Quận Phú Nhuận, TPHCM",3 tỷ 30 triệu
127,,"117 m2 (8x14,5)",4.0,5.0,Sổ hồng,18/07/2023,22167199," Đường 3 Tháng 2, Phường 6, Quận 10, TPHCM",2 tỷ 780 triệu
128,,"43 m2 (3,4x15)",,,Sổ hồng,18/07/2023,22089206," Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4 tỷ 650 triệu
129,145 m2,,3.0,2.0,Sổ hồng,18/07/2023,22240522," Tạ Quang Bửu, Phường 5, Quận 8, TPHCM",1 tỷ 420 triệu
130,,42 m2,3.0,3.0,Sổ hồng,18/07/2023,22258903," Lê Văn Sỹ, Phường 14, Quận 3, TPHCM",2 tỷ 450 triệu
131,1 m2,,2.0,2.0,Sổ hồng,18/07/2023,22256415," Nguyễn Văn Luông, Phường 12, Quận 6, TPHCM",1 tỷ 680 triệu
132,86 m2,,2.0,2.0,Sổ hồng,18/07/2023,22262945," Phạm Thế Hiển, Phường 6, Quận 8, TPHCM",1 tỷ 875 triệu
133,72 m2,,2.0,2.0,Sổ hồng,18/07/2023,22246650," Võ Văn Kiệt, Phường 16, Quận 8, TPHCM",1 tỷ 20 triệu
134,1 m2,,2.0,2.0,Không xác định,18/07/2023,22248326," Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, TPHCM",1 tỷ 500 triệu
135,60 m2,"60 m2 (4,5x13,5)",6.0,4.0,Sổ đỏ,18/07/2023,22196459," Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",5 tỷ 999 triệu
136,152 m2,152 m2 (1x1),,,Không xác định,18/07/2023,21987668," Yên Phụ, Phường Quảng An, Quận Tây Hồ, Hà Nội",44 tỷ
137,116 m2,,3.0,2.0,Sổ hồng,18/07/2023,22256364," Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, TPHCM",5 tỷ 600 triệu
138,40 m2,,2.0,1.0,Sổ đỏ,18/07/2023,22246185," Trần Quý Cáp, Phường Văn Miếu, Quận Đống Đa, Hà Nội",1 tỷ 460 triệu
139,,1 m2 (1x1),3.0,3.0,Sổ hồng,18/07/2023,22240109," Lạc Long Quân, Phường 8, Quận Tân Bình, TPHCM",2 tỷ 670 triệu
140,1 m2,,2.0,2.0,Không xác định,18/07/2023,22243271," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1 tỷ 399 triệu
141,,170 m2 (8x21),56.0,56.0,Sổ hồng,18/07/2023,22253897," Lê Lai, Phường Bến Thành, Quận 1, TPHCM",140 tỷ
142,100 m2,"32 m2 (3,2x10)",2.0,3.0,Sổ đỏ,18/07/2023,22224536," Bùi Hữu Nghĩa, Phường 2, Quận Bình Thạnh, TPHCM",4 tỷ 649 triệu
143,136 m2,50 m2 (4x11),3.0,3.0,Sổ hồng,18/07/2023,21998123," Thiên Phước, Phường 9, Quận Tân Bình, TPHCM",5 tỷ 750 triệu
144,1600 m2,420 m2 (12x35),36.0,36.0,Sổ hồng,18/07/2023,22043659," Tô Hiến Thành, Phường 14, Quận 10, TPHCM",70 tỷ
145,,48 m2 (4x12),3.0,4.0,Sổ hồng,18/07/2023,22227117," Thành Thái, Phường 14, Quận 10, TPHCM",1 tỷ 720 triệu
146,200 m2,52 m2 (4x13),4.0,5.0,Sổ hồng,18/07/2023,22090202," Đào Tông Nguyên, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM",6 tỷ 700 triệu
147,99 m2,"53 m2 (4,3x12)",2.0,2.0,Sổ hồng,18/07/2023,22202375," Đồng Đen, Phường 14, Quận Tân Bình, TPHCM",9 tỷ 600 triệu
148,72 m2,,3.0,2.0,Sổ hồng,18/07/2023,22253313," Tạ Hiện, Phường Thạnh Mỹ Lợi, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 715 triệu
149,320 m2,"85 m2 (4,3x17)",6.0,4.0,Sổ hồng,18/07/2023,21966198," Lê Quang Sung, Phường 6, Quận 6, TPHCM",10 tỷ 990 triệu
150,66 m2,,2.0,2.0,Sổ hồng,18/07/2023,22243250," Mai Chí Thọ, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 350 triệu
151,500 m2,"120 m2 (7,5x16)",15.0,16.0,Sổ hồng,18/07/2023,21793146," Phạm Ngọc Thạch, Phường 6 (Phường Võ Thị Sáu), Quận 3, TPHCM",41 tỷ
152,48 m2,,2.0,1.0,Sổ đỏ,18/07/2023,21738653," Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",600 triệu
153,,60 m2 (4x15),2.0,2.0,Sổ hồng,18/07/2023,22247380," Nguyễn Kiệm, Phường 3, Quận Gò Vấp, TPHCM",2 tỷ 290 triệu
154,1 m2,,2.0,2.0,Sổ hồng,18/07/2023,22251477," Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, TPHCM",2 tỷ 700 triệu
155,,"95 m2 (4,3x23)",3.0,3.0,Sổ đỏ,18/07/2023,22110149," Yên Lạc, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",19 tỷ 500 triệu
